2025-18-16 20:16:27.362 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-18-16 20:16:27.441 INFO  [restartedMain] c.s.e.EnotesApiServiceApplication - Starting EnotesApiServiceApplication using Java 17.0.10 with PID 53360 (C:\Users\GOURAV\Documents\workspace-spring-tool-suite-4-4.22.0.RELEASE\Enotes_API_Service\target\classes started by GOURAV in C:\Users\GOURAV\Documents\workspace-spring-tool-suite-4-4.22.0.RELEASE\Enotes_API_Service)
2025-18-16 20:16:27.444 INFO  [restartedMain] c.s.e.EnotesApiServiceApplication - The following 1 profile is active: "dev"
2025-18-16 20:16:27.528 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-18-16 20:16:27.529 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-18-16 20:16:31.022 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-18-16 20:16:31.244 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 198 ms. Found 7 JPA repository interfaces.
2025-18-16 20:16:33.153 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-18-16 20:16:33.176 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-18-16 20:16:33.182 INFO  [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-18-16 20:16:33.182 INFO  [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
2025-18-16 20:16:33.283 INFO  [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-18-16 20:16:33.283 INFO  [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5754 ms
2025-18-16 20:16:33.705 INFO  [restartedMain] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-18-16 20:16:33.900 INFO  [restartedMain] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-18-16 20:16:34.018 INFO  [restartedMain] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-18-16 20:16:34.782 INFO  [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-18-16 20:16:34.842 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-18-16 20:16:35.355 INFO  [restartedMain] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7c3e101f
2025-18-16 20:16:35.358 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-18-16 20:16:35.443 WARN  [restartedMain] org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-18-16 20:16:35.445 WARN  [restartedMain] org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
